time,V,alt,T,P,rho,ROC,phase,Pa,Pr,mdot_fuel,mdot_air,mdot_cc,mdot_fc,Pdumpy,eta_th,eta_prop,mass
0.0,8.231111,0.0,288.15,101325.0,1.2250122659906946,0.0,taxi\TO,256397.99999999997,52715.69200043318,0.003999994834696859,9.0718474,0.0,0.003999994834696859,0.0,0.3958726286376299,0.2056010265307576,8037.6
600.0,54.0167,0.0,288.15,101325.0,1.2250122659906946,0.0,taxi\TO,256397.99999999997,217938.29999999996,0.003999994834696859,9.0718474,0.0,0.003999994834696859,0.0,0.3980289523022313,0.85,8035.200003099182
610.0,54.0167,0.0,288.15,101325.0,1.2250122659906946,13.283333333333333,takeoff,1884480.0,1601808.0,0.0293992553221536,9.0718474,0.0,0.0293992553221536,0.0,0.3980289523022313,0.85,8035.200003099182
790.0,61.32719157894737,2310.0631578947373,273.1345894736842,76481.8957052836,0.9754935239016045,13.283333333333333,takeoff,1884480.0,1601808.0,0.0293992553221536,9.0718474,0.0,0.0293992553221536,0.0,0.40869783647240837,0.85,8029.908137141195
800.0,61.73333,2438.4,272.30039999999997,75262.13655825374,0.9628767772967568,13.283333333333333,climb1,1884480.0,1601808.0,0.0293992553221536,9.0718474,0.0,0.0293992553221536,0.0,0.4092624593298713,0.85,8029.614144587973
980.0,61.73333,4748.463157894737,257.28498947368416,55860.240200278204,0.7563639101022809,13.283333333333333,climb1,1721400.0,1463190.0,0.026855088996198,9.0718474,0.0,0.026855088996198,0.0,0.4181421623619937,0.85,8024.768921162764
990.0,61.73333,4876.8,256.45079999999996,54914.859702151014,0.7459818636316068,13.283333333333333,climb2,1721400.0,1463190.0,0.026855088996198,9.0718474,0.0,0.026855088996198,0.0,0.41860691098040514,0.85,8024.500370272802
1190.0,130.32592619047622,7489.371428571429,239.46908571428568,38309.07821778732,0.5573072527367957,13.283333333333333,climb2,1721400.0,1463190.0,0.026855088996198,9.0718474,0.0,0.026855088996198,0.0,0.44006831513902595,0.85,8019.129352473563
1200.0,133.755556,7620.0,238.61999999999998,37600.51762567551,0.5489457550758864,0.0,cruise,809431.1297512449,688016.4602885582,0.012627712923064234,9.0718474,0.0,0.012627712923064234,0.0,0.44138435941523874,0.85,8019.129352473563
5990.0,133.755556,7620.0,238.61999999999998,37600.51762567551,0.5489457550758864,0.0,cruise,805300.9401358656,684505.7991154857,0.012563278968322636,9.0718474,0.0,0.012563278968322636,0.0,0.44138435941523874,0.85,7958.796930533207
6000.0,133.755556,7620.0,238.61999999999998,37600.51762567551,0.5489457550758864,-7.62,descent1,543600.0,462060.0,0.008480554419852,9.0718474,0.0,0.008480554419852,0.0,0.44138435941523874,0.85,7958.796930533207
6790.0,103.274723325,1601.1875,277.74228124999996,83511.1662406447,1.0474782143726098,-7.62,descent1,543600.0,462060.0,0.008480554419852,9.0718474,0.0,0.008480554419852,0.0,0.41118019801677197,0.85,7952.097292541524
6800.0,102.88889,1525.0,278.23749999999995,84296.75861283699,1.0554499939117505,0.0,hold,650435.7345405427,552870.3743594612,0.010147269395488377,9.0718474,0.0,0.010147269395488377,0.0,0.4107791024793509,0.85,7952.097292541524
9490.0,102.88889,1525.0,278.23749999999995,84296.75861283699,1.0554499939117505,0.0,hold,649181.4847353948,551804.2620250856,0.01012770218848204,9.0718474,0.0,0.01012770218848204,0.0,0.4107791024793509,0.85,7924.827381458887
9500.0,102.88889,1525.0,278.23749999999995,84296.75861283699,1.0554499939117505,-7.62,descent2,543600.0,462060.0,0.008480554419852,9.0718474,0.0,0.008480554419852,0.0,0.4107791024793509,0.85,7924.827381458887
9660.0,62.71111117647059,376.5764705882352,285.7022529411764,96882.11236517582,1.1813331281846329,-7.62,descent2,543600.0,462060.0,0.008480554419852,9.0718474,0.0,0.008480554419852,0.0,0.40051210851445274,0.85,7923.470492751711
9670.0,60.2,304.8,286.1688,97716.53169116424,1.1895650894953274,-3.1506,approach,543600.0,462060.0,0.008480554419852,9.0718474,0.0,0.008480554419852,0.0,0.39995243648876827,0.85,7923.385687207513
9760.0,13.427999900000003,30.480000000000018,287.95187999999996,100959.37097187732,1.221431642027233,-3.1506,approach,543600.0,182392.4892445666,0.008480554419852,9.0718474,0.0,0.008480554419852,0.0,0.3960953792273476,0.33552702215703933,7922.622437309726
9770.0,8.231111,0.0,288.15,101325.0,1.2250122659906946,0.0,taxi\landing,256397.99999999997,52715.69200043318,0.003999994834696859,9.0718474,0.0,0.003999994834696859,0.0,0.3958726286376299,0.2056010265307576,7922.622437309726
10360.0,8.231111,0.0,288.15,101325.0,1.2250122659906946,0.0,taxi\landing,256397.99999999997,52715.69200043318,0.003999994834696859,9.0718474,0.0,0.003999994834696859,0.0,0.3958726286376299,0.2056010265307576,7920.2624403572545
