grid,velocity,T,D,X_N2,X_H2,X_H,X_O2,X_O,X_H2O,X_OH,X_H2O2,X_HO2,X_NO,X_N2O,X_N,X_NH,X_NNH,X_NH2
0.000225281602,0.23482124,1357.81942,1.82283467,0.427069636,0.343574156,0.000355046457,0.00018580636,6.81995008e-08,0.228808774,4.86168983e-06,7.52493672e-09,1.63502872e-06,4.61522448e-09,1.39401975e-09,2.2306784e-11,9.92705133e-12,1.46477364e-09,1.13534353e-10
0.000237797247,0.234981811,1358.74905,1.82158907,0.427074862,0.343561447,0.000325280761,0.000132808411,4.53912046e-08,0.228899934,4.44323487e-06,5.45571094e-09,1.16638563e-06,4.64976392e-09,1.15842146e-09,2.04219204e-11,9.81258138e-12,1.3944584e-09,1.22572757e-10
0.000250312891,0.235107414,1359.47898,1.8206159,0.427079262,0.343557767,0.000298545607,9.64696907e-05,3.08407299e-08,0.228962995,4.07276033e-06,4.07256843e-09,8.45807447e-07,4.67830935e-09,9.69095554e-10,1.85084016e-11,9.61347891e-12,1.32185179e-09,1.30925094e-10
0.000262828536,0.2352078,1360.06437,1.81983887,0.427083015,0.343559413,0.000274621896,7.11305491e-05,2.13819552e-08,0.229007421,3.7441813e-06,3.11174262e-09,6.22703467e-07,4.70214066e-09,8.16232375e-10,1.66591476e-11,9.35331015e-12,1.24988524e-09,1.38574106e-10
0.00027534418,0.23528955,1360.54256,1.81920657,0.427086251,0.343564122,0.000253238859,5.31801237e-05,1.51168461e-08,0.229039267,3.45209744e-06,2.4237331e-09,4.64919274e-07,4.72222202e-09,6.92113445e-10,1.49285553e-11,9.05213501e-12,1.18028387e-09,1.4553791e-10
0.000287859825,0.235357216,1360.93945,1.81868355,0.427089067,0.343570502,0.000234118555,4.02746902e-05,1.08903347e-08,0.229062475,3.19177958e-06,1.91883496e-09,3.51646779e-07,4.73928768e-09,5.90718133e-10,1.33435922e-11,8.72599326e-12,1.11399748e-09,1.51855243e-10
0.000300375469,0.235414019,1361.27345,1.81824472,0.427091538,0.343577697,0.000216997444,3.08675245e-05,7.98802312e-09,0.229079655,2.95912216e-06,1.54068479e-09,2.69187235e-07,4.75390215e-09,5.07363114e-10,1.19123573e-11,8.38691188e-12,1.05148617e-09,1.57573269e-10
0.000312891114,0.235462288,1361.55787,1.81787198,0.427093721,0.343585185,0.000201635639,2.39215668e-05,5.96068307e-09,0.229092564,2.75058026e-06,1.25251491e-09,2.08374366e-07,4.76650518e-09,4.38404292e-10,1.0632055e-11,8.04384125e-12,9.92906226e-10,1.62743474e-10
0.000325406758,0.235503743,1361.8026,1.81755199,0.427095663,0.343592648,0.000187819695,1.87309438e-05,4.52113275e-09,0.229102401,2.56310225e-06,1.02958991e-09,1.62979866e-07,4.77744394e-09,3.80999524e-10,9.49437988e-12,7.70348754e-12,9.38229707e-10,1.67419265e-10
0.000337922403,0.235539674,1362.01509,1.81727473,0.4270974,0.343599898,0.000175362165,1.48083246e-05,3.48279358e-09,0.229109999,2.39406458e-06,8.5483582e-10,1.28710135e-07,4.78699379e-09,3.32921846e-10,8.48716412e-12,7.37029808e-12,8.87320745e-10,1.71650049e-10
0.000350438048,0.235571071,1362.20103,1.81703252,0.427098961,0.343606831,0.000164099636,1.18127169e-05,2.72253356e-09,0.229115943,2.24121179e-06,7.16209457e-10,1.02564813e-07,4.79537643e-09,2.92419022e-10,7.59759947e-12,7.04742117e-12,8.3998413e-10,1.75482836e-10
0.000362953692,0.235598702,1362.36489,1.81681942,0.42710037,0.343613392,0.000153890193,9.50249042e-06,2.15785535e-09,0.229120651,2.10260311e-06,6.05056573e-10,8.2420301e-08,4.80277148e-09,2.58104635e-10,6.81287763e-12,6.73687322e-12,7.95995819e-10,1.78960455e-10
0.000375469337,0.235623173,1362.51018,1.81663073,0.427101648,0.343619561,0.000144610792,7.70437423e-06,1.73267858e-09,0.229124424,1.97656601e-06,5.15056451e-10,6.67553966e-08,4.80932518e-09,2.28875142e-10,6.1204947e-12,6.4397011e-12,7.55121899e-10,1.82120532e-10
0.000387984981,0.235644966,1362.63971,1.81646272,0.427102811,0.343625335,0.000136154759,6.29271664e-06,1.40834674e-09,0.229127482,1.86165627e-06,4.4152665e-10,5.44680352e-08,4.81515857e-09,2.03848198e-10,5.50952334e-12,6.15657517e-12,7.17130238e-10,1.84998044e-10
0.000400500626,0.235664473,1362.75577,1.81631237,0.427103874,0.343630726,0.000128429531,5.1754306e-06,1.15785631e-09,0.229129986,1.75662385e-06,3.80953266e-10,4.47512665e-08,4.82037163e-09,1.82313474e-10,4.96988448e-12,5.88763461e-12,6.81797226e-10,1.87623309e-10
0.00041301627,0.235682014,1362.86022,1.81617719,0.427104847,0.343635751,0.000121354667,4.28435194e-06,9.6210189e-10,0.229132058,1.66038411e-06,3.30668366e-10,3.70082767e-08,4.82504717e-09,1.63695616e-10,4.49222802e-12,5.63256209e-12,6.48911536e-10,1.90022083e-10
