Material Inner,Material Outer,MAWP (Pa),Tank Volume (m^3),Tank Mass (kg),Mass Error (kg),Inner Tank Thickness (m),Outer Tank Thickness (m),Vacuum Gap (m),Inner Tank Length (m),Vh2 (m^3),R_in (m),CO2 (kg),Embodied Energy (MJ),Angle of winding inner,Angle of winding outer,P_vent,Qleak,Q_cond,Q_rad,dv_list,Outer Tank Length (m),Outer Tank Radius (m)
SS-304,SS-304,1200000,5.881327006524883,1009.4302672949635,173.63798158067772,0.004445036538518186,0.001,0.0768937957432069,3.0922277126556814,4.5808444904124155,0.75,2783.8215583134624,44077.70460781301,0,0,300000,78.2362007798517,43.25229006602919,34.58394623199114,"[0.07689346344020172, 0.0768937957432069]",3.2569653772191316,0.832368832281725
SS-304,Carbon Fibre UD (Prepreg),1200000,5.881323790111156,900.5849587720348,64.79267305774903,0.004445036538518186,0.001,0.0768936069166122,3.0922277126556814,4.5808444904124155,0.75,3734.190453292536,57705.0996244222,0,0.2,300000,78.2362007798517,43.252382253090126,34.58394623199114,"[0.07689262583094722, 0.0768936069166122]",3.256964999565942,0.8323686434551303
SS-304,SS-316,1200000,5.8813269516104985,1009.6857718980121,173.89348618372634,0.004445036538518186,0.001,0.0768937925193385,3.0922277126556814,4.5808444904124155,0.75,2956.322617386531,45038.93716623164,0,0,300000,78.2362007798517,43.252291249969424,34.58394623199114,"[0.07689344913956296, 0.0768937925193385]",3.2569653707713946,0.8323688290578566
Carbon Fibre UD (Prepreg),Al-7075-T6,1200000,5.819987918062381,458.24885896287844,-377.54342675140737,0.0015023207350573073,0.001,0.07622363005057371,3.0922277126556814,4.5808444904124155,0.75,3179.7452888801754,50849.48705053055,50.600000000000044,0,300000,78.2362007798517,43.452526690674944,34.3836791766133,"[0.07622362443606646, 0.07622363005057371]",3.2497396142269435,0.828755950785631
Carbon Fibre UD (Prepreg),G10,1200000,5.819954056551499,443.103432791739,-392.6888529225468,0.0015023207350573073,0.001,0.0762216290278007,3.0922277126556814,4.5808444904124155,0.75,3043.1506785108995,49582.555598711624,50.600000000000044,41.1,300000,78.2362007798517,43.45341120142711,34.3836791766133,"[0.07622061916708424, 0.0762216290278007]",3.2497356121813974,0.828753949762858
Carbon Fibre UD (Prepreg),SS-304,1200000,5.819986470737595,545.4824313059704,-290.3098544083154,0.0015023207350573073,0.001,0.07622354452205689,3.0922277126556814,4.5808444904124155,0.75,3214.2494542251907,51581.81259269628,50.600000000000044,0,300000,78.2362007798517,43.45255767933759,34.3836791766133,"[0.07622349598373046, 0.07622354452205689]",3.2497394431699096,0.8287558652571142
Carbon Fibre UD (Prepreg),Carbon Fibre UD (Prepreg),1200000,5.819983275398355,437.35001201869494,-398.44227369559087,0.0015023207350573073,0.001,0.07622335569595728,3.0922277126556814,4.5808444904124155,0.75,4158.393846021874,65119.95409516573,50.600000000000044,49.800000000000004,300000,78.2362007798517,43.45265116771277,34.3836791766133,"[0.07622321239228586, 0.07622335569595728]",3.2497390655177103,0.8287556764310146
Carbon Fibre UD (Prepreg),SS-316,1200000,5.81998641618302,545.7362624625072,-290.05602325177864,0.0015023207350573073,0.001,0.07622354129819707,3.0922277126556814,4.5808444904124155,0.75,3385.6207066318607,52536.74949721484,50.600000000000044,0,300000,78.2362007798517,43.45255888187545,34.3836791766133,"[0.07622349114192611, 0.07622354129819707]",3.24973943672219,0.8287558620332544
SS-316,Al-7075-T6,1200000,5.881328193452844,922.5931664188751,86.80088070458925,0.004445036538518186,0.001,0.07689386542438953,3.0922277126556814,4.5808444904124155,0.75,3405.0401357896944,46995.72109196097,0,0,300000,78.2362007798517,43.25225956235081,34.58394623199114,"[0.07689382698636602, 0.07689386542438953]",3.256965516581497,0.8323689019629077
SS-316,G10,1200000,5.881294108613288,907.3478912184106,71.5556055041248,0.004445036538518186,0.001,0.07689186439637963,3.0922277126556814,4.5808444904124155,0.75,3267.5449993622838,45720.437173786166,0,1.0,300000,78.2362007798517,43.25313125932163,34.58394623199114,"[0.07688495066664085, 0.07689186439637963]",3.256961514525477,0.8323669009348977
SS-316,SS-304,1200000,5.881326736582439,1010.4018448009587,174.60955908667285,0.004445036538518186,0.001,0.07689377989564845,3.0922277126556814,4.5808444904124155,0.75,3439.7717774457274,47732.87464998873,0,0,300000,78.2362007798517,43.252290066030234,34.58394623199114,"[0.07689344759264341, 0.07689377989564845]",3.256965345524015,0.8323688164341666
